Path,License
jquery/1.5.1/package.json,UNKNOWN
jquery/1.6.2/package.json,UNKNOWN
jquery/1.6.3/package.json,UNKNOWN
jquery/1.7.2/package.json,MIT
jquery/1.7.3/package.json,MIT
jquery/1.8.2/package.json,MIT
jquery/1.8.3/package.json,MIT
jquery/2.1.0-beta2/package.json,MIT
jquery/2.1.0-beta3/package.json,MIT
jquery/1.11.0-beta3/package.json,MIT
jquery/1.11.0-rc1/package.json,MIT
jquery/2.1.0-rc1/package.json,MIT
jquery/1.11.0/package.json,MIT
jquery/2.1.0/package.json,MIT
jquery/2.1.1-beta1/package.json,MIT
jquery/1.11.1-beta1/package.json,MIT
jquery/2.1.1-rc1/package.json,MIT
jquery/1.11.1-rc1/package.json,MIT
jquery/2.1.1-rc2/package.json,MIT
jquery/1.11.1-rc2/package.json,MIT
jquery/2.1.1/package.json,MIT
jquery/1.11.1/package.json,MIT
jquery/1.9.1/package.json,MIT
jquery/2.1.2/package.json,MIT
jquery/1.11.2/package.json,MIT
jquery/2.1.3/package.json,MIT
jquery/2.1.4/package.json,MIT
jquery/1.11.3/package.json,MIT
jquery/3.0.0-alpha1/package.json,MIT
jquery/1.12.0/package.json,MIT
jquery/2.2.0/package.json,MIT
jquery/3.0.0-beta1/package.json,MIT
jquery/1.12.1/package.json,MIT
jquery/2.2.1/package.json,MIT
jquery/1.12.2/package.json,MIT
jquery/2.2.2/package.json,MIT
jquery/1.12.3/package.json,MIT
jquery/2.2.3/package.json,MIT
jquery/1.12.4/package.json,MIT
jquery/2.2.4/package.json,MIT
jquery/3.0.0-rc1/package.json,MIT
jquery/3.0.0/package.json,MIT
jquery/3.1.0/package.json,MIT
jquery/3.1.1/package.json,MIT
jquery/3.2.0/package.json,MIT
jquery/3.2.1/package.json,MIT
jquery/3.3.0/package.json,MIT
jquery/3.3.1/package.json,MIT
jquery/3.4.0/package.json,MIT
jquery/3.4.1/package.json,MIT
jquery/3.5.0/package.json,MIT
jquery/3.5.1/package.json,MIT
jquery/3.6.0/package.json,MIT
jquery/3.6.1/package.json,MIT
jquery/3.6.2/package.json,MIT
jquery/3.6.3/package.json,MIT
jquery/3.6.4/package.json,MIT
jquery/3.7.0/package.json,MIT
jquery/3.7.1/package.json,MIT
jquery/4.0.0-beta/package.json,MIT
jquery/4.0.0-beta.2/package.json,MIT
jquery/4.0.0-rc.1/package.json,MIT
jquery/4.0.0-rc.2/package.json,MIT
jquery/4.0.0/package.json,MIT
2.0.0,MIT
2.1.0,MIT
2.2.0,MIT
2.2.1,MIT
2.2.2,MIT
2.2.3,MIT
2.2.4,MIT
3.0.0,MIT
